transect_id,along_baseline_m,transect_center_x_utm,transect_center_y_utm,transect_center_longitude,transect_center_latitude,1952,1990,1995,2000,2005,2010,2015,2020,2025
0,0,223689.14504247587,2370531.3902210193,90.33459871022957,21.415953577143917,,,,,,,,,
1,500,223689.14504247587,2371031.3902210193,90.33451677933934,21.4204662656073,,,,,,,,,
2,1000,223689.14504247587,2371531.3902210193,90.33443482696381,21.424978951342787,,,,,,,,,
3,1500,223689.14504247587,2372031.3902210193,90.33435285310003,21.429491634349876,,,,,,,,,
4,2000,223689.14504247587,2372531.3902210193,90.334270857745,21.434004314628055,,,,,,,,,
5,2500,223689.14504247587,2373031.3902210193,90.33418884089573,21.43851699217685,,,,,,,,,
6,3000,223689.14504247587,2373531.3902210193,90.33410680254927,21.443029666995752,,,,,,,,,
7,3500,223689.14504247587,2374031.3902210193,90.33402474270261,21.447542339084258,,,,,,,,,
8,4000,223689.14504247587,2374531.3902210193,90.33394266135278,21.45205500844188,,,,,,,,,
9,4500,223689.14504247587,2375031.3902210193,90.3338605584968,21.456567675068115,,,,,,,,,
10,5000,223689.14504247587,2375531.3902210193,90.33377843413166,21.461080338962454,,,,,,,,,
11,5500,223689.14504247587,2376031.3902210193,90.33369628825442,21.46559300012442,,,,,,,,,
12,6000,223689.14504247587,2376531.3902210193,90.33361412086204,21.470105658553504,,,,,,,,,
13,6500,223689.14504247587,2377031.3902210193,90.33353193195157,21.47461831424921,,,,,,,,,
14,7000,223689.14504247587,2377531.3902210193,90.33344972152001,21.479130967211045,,,,,,,,,
15,7500,223689.14504247587,2378031.3902210193,90.33336748956437,21.483643617438503,,,,,,,,,
16,8000,223689.14504247587,2378531.3902210193,90.33328523608166,21.488156264931085,,,,,,,,,
17,8500,223689.14504247587,2379031.3902210193,90.33320296106888,21.492668909688312,,,,,,,,,
18,9000,223689.14504247587,2379531.3902210193,90.33312066452305,21.497181551709666,,,,,,,,,
19,9500,223689.14504247587,2380031.3902210193,90.33303834644116,21.501694190994655,,,,,,,,,
