transect_id,year,x_utm,y_utm,longitude,latitude,distance_from_baseline_m
67,1990,226911.69956740798,2404031.3902210193,90.36018695662473,21.718796797954475,3222.554524932115
83,1990,228191.80288283448,2412031.3902210193,90.3712362351601,21.791195742151114,4502.657840358617
93,1990,221976.33321843328,2417031.3902210193,90.31033045879039,21.835352602631716,1712.8118240425829
94,1990,227728.08844519441,2417531.3902210193,90.36584634254179,21.84076283219067,4038.943402718549
95,1990,225004.65479209024,2418031.3902210193,90.33943587377365,21.844852508102917,1315.5097496143717
96,1990,222532.22580880456,2418531.3902210193,90.31545085587793,21.848977340617846,1156.9192336713022
97,1990,222234.30780217823,2419031.3902210193,90.31248641523898,21.85344277026247,1454.8372402976383
98,1990,222047.91377892112,2419531.3902210193,90.31059995335272,21.857925730974717,1641.2312635547423
99,1990,222084.534072315,2420031.3902210193,90.31086944826204,21.86244387179764,1604.6109701608657
100,1990,222037.5317257293,2420531.3902210193,90.31033045894401,21.866948808992557,1651.6133167465741
101,1990,222408.63374909162,2421031.3902210193,90.31383388837928,21.871519737491855,1280.5112933842465
102,1990,226263.69109972657,2421531.3902210193,90.35102414108579,21.87663610442626,2574.5460572507
103,1990,227582.21788698295,2422031.3902210193,90.36369038628186,21.881353301898077,3893.0728445070854
104,1990,222434.85840929355,2422531.3902210193,90.31383388849416,21.88506096231764,1254.286633182317
105,1990,222638.6912201842,2423031.3902210193,90.31572035032065,21.88960548532712,1050.45382229166
106,1990,228443.98955095644,2423531.3902210193,90.37177522385278,21.895024268401528,4754.844508480572
107,1990,218866.07224209543,2424031.3902210193,90.27906908649899,21.8980307826146,4823.07280038044
108,1990,226265.92583810812,2424531.3902210193,90.35054528843276,21.90371140518302,2576.7807956322504
109,1990,223648.97495767986,2425031.3902210193,90.32515266027224,21.907814139928536,40.1700847960019
110,1990,227503.00026831555,2425531.3902210193,90.36234291313865,21.91292875274227,3813.855225839681
111,1990,219626.0330666587,2426031.3902210193,90.2860759455944,21.916201154634166,4063.1119758171553
112,1990,227130.12324516248,2426531.3902210193,90.35856998902112,21.921895867718014,3440.978202686616
113,1990,221984.23243102588,2427031.3902210193,90.30871349126284,21.92560075389688,1704.9126114499813
114,1990,222856.72667027675,2427531.3902210193,90.31706782348536,21.930251092374846,832.418372199114
115,1990,220775.89429386109,2428031.3902210193,90.29685572950855,21.934433475200272,2913.2507486147806
116,1990,221731.9665698025,2428531.3902210193,90.30601854516289,21.939097688312177,1957.178472673375
117,1990,221462.16335342618,2429031.3902210193,90.30332359882419,21.943567150701288,2226.9816890496877
118,1990,221275.9548188794,2429531.3902210193,90.30143713791068,21.94804984196685,2413.1902235964662
119,1990,225658.3437936075,2430031.3902210193,90.34374778663519,21.95325355902356,1969.1987511316256
120,1990,221377.1459155621,2430531.3902210193,90.30224562104061,21.957090484890877,2311.9991269137536
121,1990,221775.9389757998,2431031.3902210193,90.30601854502127,21.961666137360147,1913.2060666760663
122,1990,225043.7241388981,2431531.3902210193,90.33754941187846,21.966694461935653,1354.5790964222397
123,1990,223743.31026859468,2432031.3902210193,90.32488316584985,21.971002186450487,54.165226118813735
124,1990,223835.6100140525,2432531.3902210193,90.32569165067325,21.975529099928107,146.4649715766427
125,1990,223343.01633239057,2433031.3902210193,90.32084074754351,21.979963660255645,346.1287100852933
126,1990,222850.45385337115,2433531.3902210193,90.31598984508159,21.98439804935898,838.6911891047203
127,1990,225254.3315310674,2434031.3902210193,90.33916637934539,21.989289522697394,1565.186488591542
128,1990,222617.36150064273,2434531.3902210193,90.3135643930988,21.993385719295862,1071.7835418331379
129,1990,226441.34457404565,2435031.3902210193,90.35048515127455,21.99850040455347,2752.199531569786
130,1990,227006.94698936614,2435531.3902210193,90.35587504372629,22.003101246118362,3317.8019468902785
131,1990,225177.7632328459,2436031.3902210193,90.33808840081406,22.007327043908738,1488.6181903700344
132,1990,223460.05033144596,2436531.3902210193,90.32137973629091,22.011568444503595,229.0947110299021
133,1990,223385.28394293334,2437031.3902210193,90.32057125301743,22.016068924681946,303.86109954252606
134,1990,223923.0919793211,2437531.3902210193,90.32569165005157,22.02066631980044,233.94693684522645
135,1990,225769.47361042874,2438031.3902210193,90.34347829219415,22.02546956596488,2080.328567952878
136,1990,223996.29310683627,2438531.3902210193,90.32623063913067,22.02970254407659,307.1480643604009
137,1990,224199.940825411,2439031.3902210193,90.32811710094133,22.034247056551756,510.79578293513623
138,1990,224765.5003551151,2439531.3902210193,90.33350699246105,22.038848673304557,1076.3553126392362
139,1990,224495.84599714022,2440031.3902210193,90.33081204714117,22.043318460186654,806.700954664353
307,1990,228093.8812062081,2524031.3902210193,90.35129363534371,22.801936827827678,4404.7361637322465
308,1990,228490.46600888754,2524531.3902210193,90.35506655993639,22.806512943692994,4801.320966411673
309,1990,220802.39907959485,2525031.3902210193,90.28014706484278,22.80976483138406,2886.7459628810175
310,1990,221586.84719509652,2525531.3902210193,90.28769291324204,22.814406758040313,2102.2978473793482
311,1990,218827.38840150947,2526031.3902210193,90.26074345472013,22.818458744886108,4861.7566409664
312,1990,218947.41041772967,2526531.3902210193,90.26182143305233,22.822990479394523,4741.734624746197
313,1990,228313.79309217166,2527031.3902210193,90.35291060304397,22.829044310248563,4624.648049695796
314,1990,219547.32851634812,2527531.3902210193,90.26748081933604,22.832114118433186,4141.816526127746
315,1990,227971.8842647968,2528031.3902210193,90.34940717325046,22.83801285566614,4282.739222320932
316,1990,227427.26973962036,2528531.3902210193,90.3440172815693,22.84243639986267,3738.1246971444925
317,1990,220184.0998879842,2529031.3902210193,90.27340970036207,22.845755442445466,3505.0451544916723
318,1990,220331.74611844172,2529531.3902210193,90.27475717279849,22.85029174681703,3357.398924034147
319,1990,220617.78019986986,2530031.3902210193,90.27745211899587,22.854851115492277,3071.36484260601
320,1990,221291.28922245707,2530531.3902210193,90.28391998904222,22.85947493357989,2397.855820018798
321,1990,222517.24646569032,2531031.3902210193,90.29576760714059,22.8641901060294,1171.8985767855484
322,1990,224520.1063116395,2531531.3902210193,90.31518136092397,22.86903241024613,830.961269163643
323,1990,224197.1259225055,2532031.3902210193,90.31194742608413,22.87349106870579,507.98088002964505
324,1990,226309.42259087056,2532531.3902210193,90.33242901441622,22.87834946196274,2620.27754839469
325,1990,224381.41456445897,2533031.3902210193,90.31356439298528,22.88254501702447,692.2695219831076
326,1990,228043.14123219548,2533531.3902210193,90.34913767869082,22.887655819470694,4353.996189719619
327,1990,228245.83449602543,2534031.3902210193,90.35102414076383,22.892200680162635,4556.689453549567
328,1990,228420.8474494965,2534531.3902210193,90.35264110838507,22.8967410345198,4731.702407020639
329,1990,228457.5121902397,2535031.3902210193,90.35291061194523,22.90125892449951,4768.367147763842
330,1990,228466.5083443923,2535531.3902210193,90.35291060714228,22.905772320691725,4777.363301916426
331,1990,228641.5027002029,2536031.3902210193,90.35452757037436,22.910312666888153,4952.357657727029
339,1990,226666.7409190649,2540031.3902210193,90.33458497106204,22.94608581498988,2977.595876589039
340,1990,223854.63102904987,2540531.3902210193,90.30709652336746,22.95013463068264,165.48598657399998
341,1990,223061.71347153472,2541031.3902210193,90.29928118039727,22.954514929340895,627.4315709411458
342,1990,222794.3383628241,2541531.3902210193,90.29658623456858,22.95898221981307,894.8066796517523
343,1990,222554.63924150623,2542031.3902210193,90.2941607833002,22.96345405021212,1134.5058009696368
344,1990,222480.89231300435,2542531.3902210193,90.29335229954776,22.967953458625562,1208.252729471511
345,1990,222185.91361952195,2543031.3902210193,90.29038785914727,22.97241599680739,1503.2314229539188
346,1990,227642.84610696437,2543531.3902210193,90.3434782924962,22.977828478036237,3953.7010644885013
347,1990,227624.25174364823,2544031.3902210193,90.34320879796823,22.982337295400782,3935.1067011723644
348,1990,226554.92682917396,2544531.3902210193,90.33269850911684,22.98667394206731,2865.7817866980913
349,1990,227117.02513129608,2545031.3902210193,90.33808840155298,22.99127795896456,3427.8800888202095
350,1990,227844.97874428998,2545531.3902210193,90.34509525991633,22.995908944297515,4155.833701814117
351,1990,227218.1325505893,2546031.3902210193,90.33889688443328,23.00031818818033,3528.987508113438
352,1990,228250.15520927822,2546531.3902210193,90.3488681840987,23.00499886032546,4561.010166802356
353,1990,228480.37210387914,2547031.3902210193,90.35102414078355,23.009548307855518,4791.227061403275
354,1990,227936.51322061362,2547531.3902210193,90.34563424863289,23.013971312275494,4247.368178137753
355,1990,225927.52718147184,2548031.3902210193,90.32596114433777,23.018153295199678,2238.3821389959776
356,1990,225522.00089327933,2548531.3902210193,90.32191872558126,23.02259817244819,1832.855850803462
357,1990,226084.00792123267,2549031.3902210193,90.32730861728673,23.027202623155883,2394.8628787568014
358,1990,226507.76777156527,2549531.3902210193,90.33135103613083,23.031784178455162,2818.622729089402
359,1990,226323.39986644645,2550031.3902210193,90.32946457394694,23.036265604980017,2634.2548239705793
360,1990,225309.83927383667,2550531.3902210193,90.31949327429274,23.040610098083008,1620.6942313608015
361,1990,222278.62350199718,2551031.3902210193,90.28984886953721,23.044617768265116,1410.5215404786868
362,1990,222011.49627383932,2551531.3902210193,90.28715392421881,23.049084693873997,1677.6487686365435
363,1990,222158.96507147205,2552031.3902210193,90.28850139732671,23.053620986289815,1530.1799710038176
364,1990,224987.22362023548,2552531.3902210193,90.31598984476265,23.058603592460987,1298.0785777596175
365,1990,225106.9484612521,2553031.3902210193,90.31706782342637,23.06313513875367,1417.8034187762241
366,1990,225751.7281867652,2553531.3902210193,90.32326619828322,23.067753554483986,2062.583144289325
367,1990,226203.02802959754,2554031.3902210193,90.32757811210595,23.07233983926687,2513.882987121673
368,1990,225327.9233318194,2554531.3902210193,90.31895428541922,23.076706877091873,1638.7782893435215
