transect_id,along_baseline_m,transect_center_x_utm,transect_center_y_utm,transect_center_longitude,transect_center_latitude,distance_to_1952_m,distance_to_1990_m,distance_to_1995_m,distance_to_2000_m,distance_to_2005_m,distance_to_2010_m,distance_to_2015_m,distance_to_2020_m,distance_to_2025_m,NSM_meters,SCE_meters,EPR_m_per_year,EPRunc_m_per_year,LRR_m_per_year,LSE_meters,LCI_m_per_year,LR2,num_intersections
83.0,41500.0,223689.14504247587,2412031.3902210193,90.32772505644274,21.790497390871312,,4502.657840358617,4837.307232679974,,,,,,,334.6493923213566,334.6493923213566,66.92987846427131,2.8284271247461903,,,,,2
88.0,44000.0,223689.14504247587,2414531.3902210193,90.32730621707688,21.813059664958185,,,,,27.635898103326326,,390.6272188097064,,390.6272188097064,362.99132070638007,362.99132070638007,18.149566035319005,0.3535533905932738,18.149566035320362,148.1905861315995,66.15963547242423,0.75,3
93.0,46500.0,223689.14504247587,2417031.3902210193,90.32688683400782,21.83562186976824,,1712.8118240425829,3389.170023683284,,,,,,,1676.358199640701,1676.358199640701,335.2716399281402,2.8284271247461903,,,,,2
94.0,47000.0,223689.14504247587,2417531.3902210193,90.3268028921159,21.84013430241159,,4038.943402718549,3544.133294213505,4066.821466725174,4150.455437315599,4289.84527215577,4652.2580364668975,4680.135893206258,4680.135893206258,641.1924904877087,1136.0025989927526,18.319785442505964,0.31943828249996997,28.723952315350374,204.95986554409126,12.291001524569278,0.7746262133689275,8
95.0,47500.0,223689.14504247587,2418031.3902210193,90.32671892845744,21.84464673228091,1787.6441746820637,1315.5097496143717,3395.941202746588,4688.67466201252,4242.642132779234,4270.519217536406,4354.15042848367,4298.396295399754,4354.15042848367,2566.5062538016064,3373.164912398148,35.1576199150905,0.21659436028550544,43.42672939185426,850.5442226628173,26.182103928509697,0.5851814475768916,9
96.0,48000.0,223689.14504247587,2418531.3902210193,90.32663494302936,21.84915915937569,2504.8279328077915,1156.9192336713022,2745.871034493728,2021.07744337045,627.2468355901656,1937.4471126900753,4613.58677310092,236.96350380321383,4613.58677310092,2108.7588402931287,4376.623269297706,28.887107401275735,0.21659436028550544,10.292094992298232,1652.203586408257,50.859396675422886,0.020566822150495767,9
97.0,48500.0,223689.14504247587,2419031.3902210193,90.3265509358286,21.85367158369546,2665.8598445641983,1454.8372402976383,1399.0837393153051,2196.9588478627556,1259.7000734832836,2196.9588478627556,925.1799868718954,2949.6042455357965,2949.6042455357965,283.7444009715982,2024.4242586639011,3.8869096023506606,0.21659436028550544,0.3632171676760476,818.1456297741817,25.184785619189977,0.00010664416990591175,9
98.0,49000.0,223689.14504247587,2419531.3902210193,90.32646690685212,21.858184005239686,481.34529095870676,1641.2312635547423,4268.310538115213,1557.6035050074279,1557.6035130164237,1390.3481282137218,1223.0930134321388,1195.2171810632863,1195.2171810632863,713.8718901045795,3786.965247156506,9.779066987733966,0.21659436028550544,3.59493182466845,1123.7677328043414,34.59267935496052,0.005507337796571199,9
99.0,49500.0,223689.14504247587,2420031.3902210193,90.32638285609679,21.862696424007915,1166.6901716687426,1604.6109701608657,4667.099551068415,4444.111437462008,1660.3611679038731,1437.360834123334,1214.3609239629586,1214.3609300461248,1214.3609239629586,47.67075229421607,3500.4093793996726,0.6530240040303572,0.21659436028550544,-6.514454902501701,1512.685274661665,46.56463710766834,0.009936512431614308,9
100.0,50000.0,223689.14504247587,2420531.3902210193,90.32629878355955,21.867208839999627,,1651.6133167465741,1763.1101969183655,1261.3753217609483,4146.067570345011,4235.5408352823,1344.9976654795755,4842.884029801295,1317.123547986499,-334.4897687600751,3581.5087080403464,-9.556850536002145,0.31943828249996997,31.8994787599714,1614.1506795360851,96.79713835875177,0.06397420431907308,8
101.0,50500.0,223689.14504247587,2421031.3902210193,90.32621468923735,21.871721253214343,236.80244791775476,1280.5112933842465,4266.122211656009,2705.288374794618,1893.7239717038174,1782.2305230675265,1475.6240589286026,1475.6240589285735,1475.6240589285735,1238.8216110108187,4029.3197637382546,16.970159054942723,0.21659436028550544,12.725464396426114,1153.1984324738828,35.49863770128176,0.061821107602256675,9
